model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,n_train
efficientnetb0,finetune,linear,10,0.1,0.6398333333333334,0.014688998150543389,0.8853333333333334,0.005573747990954283,0.6398333333333334,0.014688998150543389,0.8853333333333334,0.005573747990954283,820
efficientnetb0,finetune,linear,25,0.25,0.6595000000000001,0.00884872872225159,0.9051666666666667,0.0038166302763913275,0.6595000000000001,0.00884872872225159,0.9051666666666667,0.0038166302763913275,2050
efficientnetb0,finetune,linear,50,0.5,0.6728333333333333,0.012906070922890003,0.9171666666666667,0.0028577380332470447,0.6728333333333333,0.012906070922890003,0.9171666666666667,0.0028577380332470447,4099
efficientnetb0,finetune,linear,75,0.75,0.6818333333333334,0.011034793458269434,0.9218333333333334,0.0027868739954771205,0.6818333333333334,0.011034793458269434,0.9218333333333334,0.0027868739954771205,6149
efficientnetb0,finetune,linear,100,1.0,0.6825000000000001,0.008938679992034598,0.9235000000000001,0.0008366600265340778,0.6825000000000001,0.008938679992034598,0.9235000000000001,0.0008366600265340778,8199
resnet50_1M,finetune,linear,10,0.1,0.645,0.022315913604421454,0.8965000000000001,0.009772410142845982,0.645,0.022315913604421454,0.8965000000000001,0.009772410142845982,820
resnet50_1M,finetune,linear,25,0.25,0.695,0.01521840990379741,0.9211666666666667,0.002041241452319318,0.695,0.01521840990379741,0.9211666666666667,0.002041241452319318,2050
resnet50_1M,finetune,linear,50,0.5,0.6978333333333332,0.011686174167222887,0.928,0.001897366596101017,0.6978333333333332,0.011686174167222887,0.928,0.001897366596101017,4099
resnet50_1M,finetune,linear,75,0.75,0.7126666666666667,0.008500980335624034,0.9318333333333334,0.003816630276391294,0.7126666666666667,0.008500980335624034,0.9318333333333334,0.003816630276391294,6149
resnet50_1M,finetune,linear,100,1.0,0.7103333333333333,0.0045018514709690895,0.9315000000000001,0.0038858718455450822,0.7103333333333333,0.0045018514709690895,0.9315000000000001,0.0038858718455450822,8199
resnet50_200K,finetune,linear,10,0.1,0.6305,0.01291123541726353,0.8943333333333333,0.009500877152487892,0.6305,0.01291123541726353,0.8943333333333333,0.009500877152487892,820
resnet50_200K,finetune,linear,25,0.25,0.6841666666666667,0.011583033569262675,0.9198333333333334,0.004792355023020171,0.6841666666666667,0.011583033569262675,0.9198333333333334,0.004792355023020171,2050
resnet50_200K,finetune,linear,50,0.5,0.703,0.007589466384404108,0.9295,0.0015165750888102999,0.703,0.007589466384404108,0.9295,0.0015165750888102999,4099
resnet50_200K,finetune,linear,75,0.75,0.705,0.009777525249264282,0.9335,0.0028809720581775915,0.705,0.009777525249264282,0.9335,0.0028809720581775915,6149
resnet50_200K,finetune,linear,100,1.0,0.7093333333333334,0.008041558721209896,0.9341666666666667,0.0023166067138525068,0.7093333333333334,0.008041558721209896,0.9341666666666667,0.0023166067138525068,8199
resnet50_5M,finetune,linear,10,0.1,0.6535000000000001,0.013187114923287824,0.907,0.008944271909999142,0.6535000000000001,0.013187114923287824,0.907,0.008944271909999142,820
resnet50_5M,finetune,linear,25,0.25,0.6936666666666667,0.01590806923126327,0.9241666666666667,0.003920034013457912,0.6936666666666667,0.01590806923126327,0.9241666666666667,0.003920034013457912,2050
resnet50_5M,finetune,linear,50,0.5,0.7136666666666667,0.015603418428878557,0.9328333333333334,0.0049966655548141685,0.7136666666666667,0.015603418428878557,0.9328333333333334,0.0049966655548141685,4099
resnet50_5M,finetune,linear,75,0.75,0.7178333333333332,0.0077824589087683,0.9373333333333332,0.002422120283277874,0.7178333333333332,0.0077824589087683,0.9373333333333332,0.002422120283277874,6149
resnet50_5M,finetune,linear,100,1.0,0.7253333333333334,0.005955389715767299,0.9401666666666667,0.0016020819787597221,0.7253333333333334,0.005955389715767299,0.9401666666666667,0.0016020819787597221,8199
resnet50_imagenet,finetune,linear,10,0.1,0.5824999999999999,0.013693063937629105,0.8546666666666667,0.004366539438350114,0.5824999999999999,0.013693063937629105,0.8546666666666667,0.004366539438350114,820
resnet50_imagenet,finetune,linear,25,0.25,0.6793333333333335,0.013894843168120537,0.9108333333333333,0.0026394443859772175,0.6793333333333335,0.013894843168120537,0.9108333333333333,0.0026394443859772175,2050
resnet50_imagenet,finetune,linear,50,0.5,0.6856666666666666,0.009729679679550938,0.9209999999999999,0.0018973665961010177,0.6856666666666666,0.009729679679550938,0.9209999999999999,0.0018973665961010177,4099
resnet50_imagenet,finetune,linear,75,0.75,0.6991666666666667,0.00897589364167526,0.9275000000000001,0.0008366600265340778,0.6991666666666667,0.00897589364167526,0.9275000000000001,0.0008366600265340778,6149
resnet50_imagenet,finetune,linear,100,1.0,0.6971666666666666,0.012496666222103636,0.927,0.0016733200530681326,0.6971666666666666,0.012496666222103636,0.927,0.0016733200530681326,8199
vits16_gastronet,finetune,linear,10,0.1,0.6871666666666667,0.011461529857164173,0.9196666666666667,0.005715476066494069,0.6871666666666667,0.011461529857164173,0.9196666666666667,0.005715476066494069,820
vits16_gastronet,finetune,linear,25,0.25,0.7086666666666667,0.013351654079801,0.9318333333333334,0.001940790217067952,0.7086666666666667,0.013351654079801,0.9318333333333334,0.001940790217067952,2050
vits16_gastronet,finetune,linear,50,0.5,0.7216666666666667,0.010576703960434369,0.9396666666666667,0.0024221202832779526,0.7216666666666667,0.010576703960434369,0.9396666666666667,0.0024221202832779526,4099
vits16_gastronet,finetune,linear,75,0.75,0.73,0.016049922118191125,0.941,0.0010954451150103509,0.73,0.016049922118191125,0.941,0.0010954451150103509,6149
vits16_gastronet,finetune,linear,100,1.0,0.7294999999999999,0.008871302046486727,0.943,0.0012649110640673847,0.7294999999999999,0.008871302046486727,0.943,0.0012649110640673847,8199
vits16_imagenet,finetune,linear,10,0.1,0.6295000000000001,0.012597618822618829,0.8941666666666667,0.004622409184253045,0.6295000000000001,0.012597618822618829,0.8941666666666667,0.004622409184253045,820
vits16_imagenet,finetune,linear,25,0.25,0.6651666666666667,0.013934369977385667,0.9201666666666667,0.0057763887219150056,0.6651666666666667,0.013934369977385667,0.9201666666666667,0.0057763887219150056,2050
vits16_imagenet,finetune,linear,50,0.5,0.685,0.004289522117905379,0.9286666666666666,0.002658320271650251,0.685,0.004289522117905379,0.9286666666666666,0.002658320271650251,4099
vits16_imagenet,finetune,linear,75,0.75,0.6916666666666668,0.012027745701779098,0.934,0.002190890230020648,0.6916666666666668,0.012027745701779098,0.934,0.002190890230020648,6149
vits16_imagenet,finetune,linear,100,1.0,0.7004999999999999,0.008312640976248186,0.9341666666666667,0.0019407902170679484,0.7004999999999999,0.008312640976248186,0.9341666666666667,0.0019407902170679484,8199
